|Titulo|Main Story|Main + Extras|Completionist|All Styles|Rating|Developer|Publishers|Genres
3445|Candy Blast|--|--|--|--|NR|White Rabbit Games|White Rabbit Games| June 30, 2016
3446|Emerland Solitaire: Endless Journey|32½ Hours|--|--|32½ Hours|60|Rainbow Games|Rainbow Games| January 06, 2015
3447|Heroes Must Die|2½ Hours|--|--|2½ Hours|70|Heroic Games|Heroic Games| July 15, 2016
3448|Hybrid Animals|--|--|--|--|NR|FamishedMammal|Abstract Software|Simulation
3449|Fruit Ninja VR|1 Hours|3 Hours|--|2 Hours|80|Halfbrick Studios|Halfbrick Studios|Virtual Reality, Action
3450|Modbox|--|--|--|--|NR|Alientrap|Alientrap| April 05, 2016
3451|One Hundred Ways|--|--|--|--|NR|Sunlight Games|KISS| October 23, 2015
3452|Trials on Tatooine|15 Mins|--|15 Mins|15 Mins|33|ILMxLAB|ILMxLAB|Action
3453|XCavalypse|--|--|1 Hours|1 Hours|50|Davevillz|Davevillz| June 06, 2016
3454|Riff Racer|4 Hours|16½ Hours|26 Hours|8 Hours|70|FOAM Entertainment|FOAM Entertainment|Music/Rhythm, Racing
3455|Q!Zone for Quake|3 Hours|--|--|3 Hours|NR| DLC/Expansion|WizardWorks Software|First-Person, Shooter
3456|H!Zone: For Heretic and Hexen (WAD)|--|--|--|--|NR| DLC/Expansion|WizardWorks|First-Person, Shooter
3457|Perdition's Gate (Doom II WAD)|--|--|--|--|NR| Mod|Wraith Corporation|First-Person, Shooter
3458|Hell to Pay (Doom II WAD)|--|--|--|--|NR| Mod|Wraith Corporation|First-Person, Shooter
3459|Malice for Quake|--|--|--|--|NR| Mod|Team Epochalypse, Quantum Axcess|First-Person, Action, Shooter
3460|StarCraft: Insurrection|--|--|--|--|NR| DLC/Expansion|Aztech New Media|Real-Time, Strategy
3461|StarCraft: Retribution|2 Hours|--|--|2 Hours|NR| DLC/Expansion|Stardock|PC
3462|Shrak|2 Hours|--|--|2 Hours|NR| Mod|Quantum Axcess|First-Person, Shooter
3463|Alien Quake|--|--|--|--|NR| Mod|Alien Quake Team| 1997
3464|10 Second Ninja X|2 Hours|7½ Hours|22 Hours|4 Hours|71|Four Circle Interactive|Curve Digital|Action, Platform
3465|Paranormal Psychosis|--|--|--|--|NR|Digital Homicide Studios|Digital Homicide Studios| June 20, 2016
3466|MXGP2 - The Official Motocross Videogame|--|--|--|--|NR|Milestone|Milestone| April 07, 2016
3467|Niffelheim|--|--|30 Hours|30 Hours|NR|Ellada Games|Ellada Games| April 28, 2016
3468|The Dwarves|8½ Hours|10 Hours|11½ Hours|10 Hours|53|KING Art|THQ Nordic, EuroVideo Medien|Role-Playing
3469|DreamBreak|2 Hours|2 Hours|2½ Hours|2 Hours|20|Aist|Beatshapers, Digerati Distribution|Action, Adventure, Platform
3470|Take Thy Throne|--|--|--|--|NR|Charyb Games|Charyb Games| July 05, 2016
3471|NVIDIA VR Funhouse|22 Mins|--|--|22 Mins|60|Lightspeed Studios|Lightspeed Studios|Virtual Reality, Survival Horror
3472|#SelfieTennis|--|--|--|--|NR|VRUnicorns|Bandello, Devolver Digital| April 01, 2016
3473|A Legend of Luca|--|--|--|--|NR|Legend Studio|Legend Studio|Virtual Reality, Action, Adventure
3474|Cloudlands: VR Minigolf|--|--|--|--|NR|Futuretown|Futuretown|Virtual Reality, Sports
3475|Firebird: La Peri|--|43 Mins|--|43 Mins|NR|Innerspace VR|Innerspace VR|Virtual Reality, Adventure
3476|Light Repair Team #4|--|--|--|--|NR|Eerie Bear Games|Eerie Bear Games| April 05, 2016
3477|Quar: Battle for Gate 18|--|--|--|--|NR|Steel Wool Studios|HTC| April 04, 2016
3478|[email protected]|--|--|--|--|NR|Stormcloud Games|Third-Person, Action, Adventure, Roguelike| August 09, 2016
3479|Bound|2 Hours|2 Hours|2½ Hours|2 Hours|62|Sony Interactive Entertainment America|Sony Interactive Entertainment America|Action
3480|Gnomes Garden 2|--|--|5 Hours|5 Hours|90|Jerzie, Creobit|8Floor|Top-Down, Strategy
3481|Scythe II (Doom II WAD)|2½ Hours|4½ Hours|--|3½ Hours|80| Mod|Erik Alm| June 2005
3482|Scythe (Doom II WAD)|2½ Hours|--|--|2½ Hours|80| Mod|Erik Alm|First-Person, Shooter
3483|Quake - Single Player: Something Wicked This Way Comes|2 Hours|--|--|2 Hours|80| Mod|Tronyn, PM, Tyrann, Necros|First-Person, Shooter
3484|Resident Evil 7 Teaser: Beginning Hour|33 Mins|1 Hours|1½ Hours|44 Mins|78|Capcom|Capcom|Survival, Survival Horror
3485|Space Run Galaxy|--|77 Hours|80 Hours|79 Hours|30|Passtech Games|Focus Home Interactive|Tower Defense
3486|The Sea Eternal|--|--|--|--|NR|Choice of Games|Choice of Games| April 22, 2016
3487|Choice of Alexandria|1 Hours|--|4 Hours|2½ Hours|NR|Choice of Games|Choice of Games|Text, Adventure
3488|Choice of the Pirate|1 Hours|--|2½ Hours|2 Hours|80|Choice of Games|Choice of Games|Text, Adventure
3489|Moira|--|--|--|--|NR|Onagro Studios|Onagro Studios| 2017
3490|F1 2016|18 Hours|23 Hours|30 Hours|22 Hours|73|Codemasters Birmingham|Codemasters|Sports
3491|Clock Simulator|--|--|1½ Hours|1½ Hours|53|Kool2Play|Kool2Play|Point-and-Click
3492|Crackdown 3|--|--|--|--|NR|Sumo Digital, Reagent Games, Ruffian Games, Cloudgine|Microsoft Studios| February 2019
3493|GAIN|--|--|--|--|NR|Worldgame Entertainment|Worldgame Entertainment| May 24, 2016
3494|Hyspherical 2|--|--|--|--|50|Monkeybin AS|Monkeybin AS| February 16, 2016
3495|Johnny Graves: The Unchosen One|--|--|--|--|NR|Stupid Stupid Games|Stupid Stupid Games| June 16, 2016
3496|Beasts Battle|--|--|4½ Hours|4½ Hours|NR|Greenolor Studio|Greenolor Studio|Turn-Based, Strategy
3497|Annie Amber|--|12 Hours|--|12 Hours|NR|Pantumaca Barcelona, @CarlosGameDev|Talking About Media| June 17, 2016
3498|Lightblade VR|--|--|--|--|NR|Andreas Hager Gaming|Andreas Hager Gaming|Action, Simulation
3499|The Land of Eyas|--|--|--|--|NR|Happy Square Productions|Rising Star Games| July 21, 2016
3500|Professional Lumberjack 2015|--|--|--|--|NR|PlayWay|BANDAI NAMCO Entertainment, United Independent Entertainment| March 05, 2015
3501|Replica|57 Mins|1½ Hours|3½ Hours|2 Hours|68|Somi|Somi|Adventure
3502|Bohemian Killing|2 Hours|4 Hours|7½ Hours|4 Hours|53|The Moonwalls|IQ Publishing|First-Person, Multidirectional, Adventure
3503|Moirai (2013)|15 Mins|15 Mins|15 Mins|15 Mins|70|Chris Johnson, Brad Barrett, John Oestmann|Chris Johnson, Brad Barrett, John Oestmann|Action, Role-Playing
3504|Chicken Invaders|--|--|--|--|NR|Monte Cristo|PopTop Software, Monte Cristo|Top-Down, Action, Shooter
3505|Daydreamer|--|--|--|--|NR|Roland Studios|Roland Studios| August 21, 2015
3506|Human: Fall Flat|5 Hours|9½ Hours|15 Hours|6½ Hours|72|No Brakes Games|Curve Digital|Adventure
3507|Quadrilateral Cowboy|5 Hours|5½ Hours|6½ Hours|5½ Hours|76|Blendo Games|Blendo Games|Adventure
3508|The Turing Test|5 Hours|5½ Hours|6 Hours|5½ Hours|74|Bulkhead Interactive|Square Enix|Adventure, Puzzle
3509|Cube Escape: Theatre|43 Mins|--|1 Hours|48 Mins|77|Rusty Lake|Android, iOS, PC| 1 Month Ago
3510|Dungeon Punks|7 Hours|7½ Hours|16 Hours|8½ Hours|54|Hyper Awesome Entertainment|Artix Entertainment|Action, Role-Playing
3511|The Ice-Bound Concordance|--|--|--|--|NR|Aaron Reen & Jacob Garbe| January 21, 2016| January 21, 2016
3512|Fallout 4: Vault-Tec Workshop DLC|3 Hours|3½ Hours|3½ Hours|3½ Hours|64| DLC/Expansion|Bethesda Game Studios|PC, PlayStation 4, Xbox One
3513|Shiren the Wanderer: The Tower of Fortune and the Dice of Fate|23 Hours|--|--|23 Hours|58|Chunsoft|Aksys|Roguelike, Role-Playing
3514|Headlander|5 Hours|7 Hours|8 Hours|7 Hours|73|Double Fine Productions|Adult Swim Games|Action, Platform
3515|Biozone|--|--|--|--|NR|G5 Entertainment|Konami| May 07, 2010
3516|Starship Corporation|--|--|--|--|NR|Coronado Games|Iceberg Interactive| April 29, 2016
3517|The Viceroy|--|--|--|--|NR|Goatee Games|Goatee Games| July 28, 2015
3518|Bot Vice|2½ Hours|6 Hours|12 Hours|4½ Hours|80|DYA Games|DYA Games|Action, Adventure
3519|Verdict Guilty|16 Mins|--|4 Hours|3 Hours|55|Retro Army|Retro Army|Fighting
3520|Layton’s Mystery Journey: Katrielle and the Millionaire’s Conspiracy|19 Hours|21½ Hours|27½ Hours|21½ Hours|76|Level-5|Level-5|Point-and-Click, Multidirectional, Adventure, Puzzle
3521|Sonic Mania|5½ Hours|8 Hours|18½ Hours|7½ Hours|85|Christian Whitehead, PagodaWest Games, Headcannon|Sega|Third-Person, Scrolling, Action, Platform
3522|Kings and Heroes|--|--|--|--|NR|Industry Games|Industry Games| May 31, 2016
3523|Tricky Towers|8½ Hours|--|--|8½ Hours|67|WeirdBeard|WeirdBeard|Puzzle
3524|My Little Kitties|4½ Hours|--|--|4½ Hours|50|COSEN|Sekai Project| June 21, 2016
3525|Zeus Quest: Anagenissis of Gaia|--|--|--|--|NR|Crazysoft Limited|Crazysoft Limited| 4 Months Ago
3526|Grid Masters|--|--|--|--|NR|Angry Hangar Games|Angry Hangar Games| May 31, 2016
3527|Urban Pirate|--|--|--|--|NR|BABY DUKA, BD Games|BD Games| June 17, 2016
3528|Led It Rain|--|--|--|--|NR|Ataverti|Ataverti| June 10, 2016
3529|Parkan: Iron Strategy|--|--|--|--|NR|Nikita|1C Company| February 14, 2001
3530|REDCON|--|--|--|--|NR|Hexage|Hexage|Tower Defense
3531|Moon Colonization Project|--|--|15 Mins|15 Mins|10|Belarus Games|BadDoge|Simulation
3532|Empty Horizons|1½ Hours|2 Hours|2½ Hours|2 Hours|70|ebi-hime|Sekai Project|Visual Novel
3533|Nurse Love Addiction|13 Hours|20½ Hours|24½ Hours|18½ Hours|64|KOGADO STUDIO|Degica|Visual Novel
3534|One Last Chance|--|--|55 Mins|55 Mins|40|Last Lotus|Last Lotus|Visual Novel
3535|Just Deserts|7½ Hours|--|--|7½ Hours|NR|Vifth Floor|Sekai Project|Visual Novel
3536|Yooka-Laylee - Toybox|--|1 Hours|2 Hours|1 Hours|80|Playtonic Games|Team17 Digital|Action, Adventure, Platform
3537|Auro|--|--|--|--|NR|Dinofarm Games|Dinofarm Games| April 13, 2016
3538|Metro Warp|--|--|--|--|NR|Another Yeti|Another Yeti| August 05, 2015
3539|Fairy Fencer F: Advent Dark Force|29 Hours|35½ Hours|58½ Hours|34½ Hours|70|Compile Heart|Idea Factory|Role-Playing
3540|Backpacker 2|--|--|--|--|60|Tati Mixedia|BMG Interactive Entertainment|Point-and-Click, Adventure
3541|Surround|--|--|--|--|NR|Atari|Atari| 1977
3542|The Way of the Exploding Fist|--|--|--|--|NR|Beam Software|Melbourne House| June 1985
3543|Daily Chthonicle|30 Mins|8 Hours|--|4 Hours|50|Sinister Systems|Sometimes You|Adventure, Simulation
3544|Ground Breakers|--|--|--|--|NR|UnitedIndie|UnitedIndie| June 15, 2016
3545|Untamed: Life of a Cougar|--|--|--|--|NR|OCCA Studios|Strategy First| August 27, 2015
3546|Driven|3 Hours|--|--|3 Hours|50|BAM! Entertainment|BAM! Entertainment| March 30, 2002
3547|Batman: Toxic Chill|--|--|2 Hours|2 Hours|20|Riverdeep|The Learning Company| 2003
3548|EVE: Gunjack|1½ Hours|2 Hours|--|2 Hours|63|CCP|CCP|Virtual Reality, Action
3549|Lady Bug|--|--|--|--|NR|Universal|Universal| 3 Days Ago
3550|Maria the Witch|--|--|--|--|NR|Naps Team|Naps Team| March 01, 2016
3551|Montaro|1 Hours|1½ Hours|2½ Hours|2 Hours|70|JCKSLAP|JCKSLAP|Platform
3552|SEUM: Speedrunners from Hell|3 Hours|7½ Hours|16½ Hours|8 Hours|77|Pine Studio|Headup Games|First-Person, Platform
3553|Ship Simulator: Maritime Search and Rescue|--|--|--|--|NR|Reality Twist|Rondo Media| July 01, 2014
3554|World of Subways: 1 - The Path|--|--|--|--|NR|TML-Studios|Aerosoft| October 29, 2009
3555|World of Subways: 4 - New York Line 7|--|--|--|--|NR|TML-Studios|Aerosoft| March 23, 2015
3556|Ys VIII: Lacrimosa of Dana|37 Hours|51 Hours|68 Hours|51½ Hours|90|Nihon Falcom|Nihon Falcom|Action, Role-Playing
3557|Potato Thriller: Steamed Potato Edition|2 Hours|--|2 Hours|2 Hours|47|Snowconesolid|Snowconesolid Productions|Action, Adventure
3558|Layers of Fear: Inheritance|1 Hours|1½ Hours|3½ Hours|1½ Hours|64| DLC/Expansion|Bloober Team|PC, PlayStation 4, Xbox One
3559|Mini Golf Mundo|45 Mins|--|45 Mins|45 Mins|30|EnsenaSoft|United Independent Entertainment|Party, Sports
3560|Rising Islands|1½ Hours|2 Hours|2½ Hours|2 Hours|70|Lone Hero Studios|SOEDESCO Publishing|Adventure
3561|Gravity Cat|2 Hours|2 Hours|2 Hours|2 Hours|55|Quiet River|Quiet River|Platform, Puzzle
3562|You Have 10 Seconds|19 Mins|--|48 Mins|24 Mins|70|tamationgames|tamationgames|Platform
3563|Overcooked|7 Hours|9 Hours|11½ Hours|9½ Hours|83|Ghost Town Games|Team17|Action
3564|Backflip Madness|2½ Hours|--|--|2½ Hours|NR|Gamesoul Studio|Gamesoul Studio|Scrolling, Sports
3565|Outlaw|--|2 Hours|--|2 Hours|30|Atari|Atari| 1978
3566|Neuro Hunter|--|--|--|--|NR|Media Art|Deep Silver| August 19, 2005
3567|Iron Storm: World War Zero|4 Hours|--|--|4 Hours|40|Rebellion Developments|Wanadoo| October 25, 2002
3568|Metrico+|3½ Hours|4 Hours|5½ Hours|4 Hours|49|Digital Dreams|Digital Dreams|Side, Scrolling, Platform, Puzzle
3569|Mobius Final Fantasy|225 Hours|--|--|225 Hours|68|Square Enix|Square Enix|Role-Playing
3570|Super Robot Taisen OG: The Moon Dwellers|41½ Hours|--|--|41½ Hours|50|Banpresto|Bandai Namco Games|Turn-Based, Tactical
3571|Lovely Planet Arcade|--|7 Hours|--|7 Hours|90|QUICKTEQUILA|tinyBuild Games| July 22, 2016
3572|Bad Rats Show|4½ Hours|--|11 Hours|7½ Hours|10|Invent4 Entretenimento|Strategy First|Action, Puzzle
3573|God's Death|--|--|--|--|NR|Marco Tancredi|Marco Tancredi| April 30, 2016
3574|Defend Your Crypt|--|--|--|--|NR|Ratalaika Games|Ratalaika Games| July 21, 2016
3575|The Last Error|--|--|--|--|NR|Anatoliy Loginovskikh|Anatoliy Loginovskikh| July 08, 2016
3576|Conan the Mighty Pig|--|--|--|--|NR|Mihai Morosanu|Mihai Morosanu| June 28, 2016
3577|RoShamBo Arena|--|--|--|--|NR|Blam! Games|Blam! Games| July 14, 2016
3578|Gal*Gun: Double Peace|4 Hours|19½ Hours|72 Hours|8 Hours|69|Inti Creates|PQube|On-Rails, Shooter
3579|Mandagon|36 Mins|41 Mins|42 Mins|40 Mins|68|Blind Sky Studios|Blind Sky Studios|Adventure
3580|A.W.: Phoenix Festa|4 Hours|16 Hours|--|9½ Hours|43|APLUS|Bandai Namco Entertainment|Action, Role-Playing
3581|CASE: Animatronics|--|--|8 Hours|8 Hours|NR|Last Level, Aleson|HypeTrain Digital| August 03, 2016
3582|Lethe - Episode One|4½ Hours|5 Hours|6 Hours|5 Hours|70|KoukouStudious|Faber Interactive|First-Person, Adventure, Survival Horror
3583|Kingdom: New Lands|8½ Hours|33 Hours|42 Hours|31½ Hours|74|Noio|Raw Fury|Simulation, Strategy
3584|Back to Saturn X - EP1: Get Out Of My Stations (Doom II WAD)|7 Hours|--|--|7 Hours|NR| Mod|Esselfortium, Back to Saturn X team| December 10, 2012
3585|Skullgirls 2nd Encore|4 Hours|--|--|4 Hours|74|Lab Zero Games|Marvelous, Autumn Games|Side, Action, Arcade, Fighting
3586|Anarcute|6 Hours|6 Hours|--|6 Hours|80|Anarteam|Anarteam, Plug In Digital|Action
3587|Turbo Esprit|--|--|--|--|NR|Mike Richardson|Durell Software| May 1986
3588|Tau Ceti|--|--|--|--|NR|CRL Group PLC|CRL Group PLC| 1985
3589|Con Amore|--|--|--|--|NR|Team Taju|Wronghut| November 28, 2015
3590|Selma and the Wisp|1½ Hours|--|2 Hours|2 Hours|60|Toucan Studio|Toucan Studio|Adventure, Platform
3591|Summer Challenge: Athletics Tournament|--|--|--|--|80|49Games|PQube| May 18, 2012
3592|Beauty and the Beast: A Board Game Adventure|5 Mins|--|3 Hours|1½ Hours|60|Game Boy Color|Board Game| 1.5 Months Ago
3593|3-D Tic-Tac-Toe|--|--|--|--|NR|Atari|Atari| 1 Month Ago
3594|Day of Infamy|--|--|--|--|67|New World Interactive|New World Interactive|First-Person, Shooter
3595|Bastard Bonds|--|30 Hours|--|30 Hours|70|Bigfingers|Bigfingers|Role-Playing
3596|Ragnarok Clicker|--|15 Hours|174 Hours|94½ Hours|70|Playsaurus|Gravity Interactive|Point-and-Click, Role-Playing
3597|Zombie City Defense 2|--|--|--|--|NR|Mozg Labs|Mozg Labs| August 19, 2016
3598|Adrenix|--|--|--|--|NR|Digital Dialect|Playmates| April 28, 1998
3599|AIM: Artificial Intelligence Machine|--|--|--|--|NR|SkyRiver Studios|1C Company| February 27, 2004
3600|Avadon 3: The Warborn|--|48 Hours|--|48 Hours|80|Spiderweb Software|Spiderweb Software|Role-Playing
3601|Ben-Hur|15 Mins|32 Mins|1 Hours|57 Mins|27|Float Hybrid, Krome Studios|AOL|Racing
3602|Cogmind|--|--|--|--|NR|Grid Sage Games|Grid Sage Games| October 16, 2017
3603|Abrix for kids|--|--|6 Hours|6 Hours|NR|EJRGames|EJRGames|Strategy
3604|Android John|--|--|--|--|NR|Recreat4|Virtuactions| 2 Months Ago
3605|Cavernus|--|--|--|--|NR|Frozenen|Frozenen| July 05, 2016
3606|Chicken Assassin: Master of Humiliation|--|--|5 Hours|5 Hours|63|Oneshark|Oneshark|Role-Playing
3607|Color Chaos|--|--|--|--|NR|Daniel Riley|Daniel Riley| May 02, 2016
3608|Day D: Tower Rush|--|--|6 Hours|6 Hours|NR|Creobit|8Floor| July 08, 2016
3609|Deranged Rabbits|--|4 Hours|10 Hours|7 Hours|80|Mikko Nykyri|Grove Comp|Platform
3610|Derelict|--|--|--|--|NR|Floor59Games|Floor59Games| July 23, 2016
3611|Devoured Time|--|--|--|--|NR|Cracked Piston|Cracked Piston| August 08, 2016
3612|Flute Master|--|--|--|--|NR|Insignio Labs|Insignio Labs| June 16, 2016
3613|Forgotten Tales: Day of the Dead|12 Hours|--|--|12 Hours|60|Green Sauce Games|Green Sauce Games|Card Game
3614|Go Mission: Space Travel|--|--|--|--|NR|Andre Bertaglia|OtakuMaker.com| July 21, 2016
3615|Heavenly Battle|--|--|--|--|NR|Idema Games|Idema Games| June 15, 2016
3616|Military Life: Tank Simulator|--|--|--|--|NR|United Independent Entertainment|United Independent Entertainment| June 01, 2016
3617|Mini's Magic World|--|--|--|--|NR|Magory.net|Magory.net| May 12, 2016
3618|Planet Driller|--|--|54 Mins|54 Mins|NR|Oryzhon Studios|Oryzhon Studios|Strategy
3619|RX Squad|--|--|--|--|NR|YFYX Games|YFYX Games| July 21, 2016
3620|Reptilian Rebellion|--|--|--|--|NR|Herrero Games|Herrero Games| August 08, 2016
3621|Rising Runner|--|--|--|--|NR|Magicbane|Magicbane| November 01, 2015
3622|Save Halloween: City of Witches|--|--|--|--|NR|Quick Click Games|Calenture Remedy| October 20, 2015
3623|Shattered Throne|--|--|--|--|NR|Checkmark Games|Checkmark Games| November 28, 2016
3624|Space Survival|--|--|--|--|NR|Moran Rod|UltraShock Gaming| June 20, 2016
3625|Squirbs|--|--|6 Hours|6 Hours|NR|Team Indev|Team Indev|Action, Adventure, Platform, Puzzle
3626|Strike Force: Desert Thunder|--|--|--|--|NR|West Forest Games|West Forest Games| April 25, 2016
3627|The Big Secret of a Small Town|3 Hours|--|--|3 Hours|70|Flenx|Buka Entertainment|Point-and-Click, Adventure
3628|Toro|--|--|--|--|NR|Recotechnology|Recotechnology| January 26, 2016
3629|Unending Galaxy|--|--|--|--|NR|Anarkis Gaming|Anarkis Gaming| February 19, 2016
3630|Voxel Blast|--|--|--|--|NR|Ceiba Software and Arts|Ceiba Software and Arts| October 22, 2015
3631|Wondershot|--|--|--|--|NR|Leikir Studio|Leikir Studio| February 19, 2016
3632|Worlds of Chaos: Invasion|--|--|--|--|NR|Tactichaos|Tactichaos| February 10, 2016
3633|Monstro: Battle Tactics|--|--|--|--|NR|Retrocade.net|Retrocade.net| January 09, 2014
3634|Bear With Me|8 Hours|11 Hours|11 Hours|8½ Hours|57|Exordium Games|Exordium Games|Adventure
3635|Tomato Jones|2½ Hours|--|--|2½ Hours|NR|HA Studio|HA Studio|Adventure
3636|Dovetail Games: Flight School|--|--|--|--|NR|Dovetail Games|Dovetail Games| May 24, 2016
3637|Thief - Fan Mission: Prowler of the Dark|--|31 Mins|--|31 Mins|NR| Mod|Melan| December 30, 2008
3638|The Dark Mod - Fan Mission: Return to the City|47 Mins|--|--|47 Mins|NR| Mod|Melan| January 10, 2010
3639|The Dark Mod - Fan Mission: Fiasco at Fauchard Street|--|28 Mins|--|28 Mins|NR| Mod|Melan| May 01, 2011
3640|Near Death|2½ Hours|3½ Hours|3½ Hours|3 Hours|73|Orthogonal Games|Orthogonal Games|Action, Adventure
3641|Riptide GP: Renegade|6 Hours|7 Hours|16½ Hours|8½ Hours|70|Vector Unit|Vector Unit|Racing
3642|Voodoo Garden|--|--|28 Hours|28 Hours|70|M. Hanka|Liu Lidan|Simulation
3643|Through Abandoned 2. The Forest|--|--|--|--|50|Solved|Solved|Adventure
3644|Riddles of the Past|1½ Hours|1½ Hours|2 Hours|1½ Hours|50|MysteryTag, FarMills|RunServer|Hidden Object
3645|Tadpole Treble|2 Hours|4½ Hours|10½ Hours|3 Hours|73|BitFinity Games|BitFinity Games|Music/Rhythm
3646|Enigmatis 3: The Shadow of Karkhala|3½ Hours|4½ Hours|5 Hours|4½ Hours|69|Artifex Mundi|Artifex Mundi|Hidden Object
3647|The Red Odyssey|--|--|--|--|NR| DLC/Expansion|Big Boat Interactive|First-Person, Real-Time, Action, Shooter, Simulation, Strategy, Tactical
3648|Agent A: A Puzzle in Disguise|--|--|1 Hours|1 Hours|75|Yak & Co|Yak & Co| October 27, 2015
3649|Call of Duty: Modern Warfare - Remastered|6 Hours|7½ Hours|14½ Hours|7 Hours|80|Activision|PC, PlayStation 4, Xbox One| November 04, 2016
3650|Lost Journey|5 Hours|6 Hours|--|5½ Hours|80|DreamSky|Android| 1 Month Ago
3651|Puzzle Nebula|--|--|--|--|NR|Multiverse Games|Multiverse Games| February 09, 2016
3652|King's Guard|--|--|--|--|NR|FreezeNova|FreezeNova| June 08, 2016
3653|Awakened|--|--|--|--|NR|Jesper Michael Petersen|Jesper Michael Petersen| June 29, 2016
3654|Sapper's Bad Dream|--|--|--|--|NR|WTFOMGames|WTFOMGames| July 07, 2016
3655|SnoCross 2|2½ Hours|--|--|2½ Hours|20|Crave Entertainment|Oxygen Games| January 30, 2007
3656|8-bit Hordes|--|--|20 Hours|20 Hours|50|Petroglyph|Petroglyph|Real-Time, Strategy
3657|Karma Miwa|1 Hours|--|1½ Hours|1½ Hours|40|Space Fractal|OtakuMaker.com|Platform
3658|Attack on Titan|10½ Hours|20 Hours|43½ Hours|15 Hours|71|Omega Force|Koei Tecmo|Third-Person, Action
3659|Tower Unite|--|--|--|--|80|PixelTail Games|PixelTail Games|Party, Sports
3660|Eisenhorn: XENOS|6½ Hours|7 Hours|13 Hours|9½ Hours|60|Pixel Hero Games|Pixel Hero Games|Action, Adventure
3661|Spaceplan|7 Hours|10 Hours|10 Hours|8 Hours|74|Jake Hollands|Devolver Digital|Point-and-Click
3662|A Normal Lost Phone|1½ Hours|2 Hours|2 Hours|1½ Hours|70|Plug In Digital|Playdius, Plug In Digital|Adventure
3663|Narcissu Zero|--|--|3 Hours|3 Hours|90| DLC/Expansion|stage-nana|Text, On-Rails, Visual Novel
3664|Keitai Denjuu Telefang: Power & Speed|10½ Hours|--|--|10½ Hours|60|Smilesoft|Natsume| November 03, 2000
3665|SimTown|--|--|--|--|70|Maxis|Maxis Kids|Simulation
3666|Beatbuddy: On Tour|--|--|--|--|NR|Threaks|Threaks| December 04, 2015
3667|Amnesia: Final Revelations|--|--|--|--|NR|Frictional Games|Krusti Clawn| April 30, 2015
3668|Redactem|--|--|1½ Hours|1½ Hours|60|Elliott Marc Jones|Elliott Marc Jones, EMJ Publishing|Platform, Puzzle
3669|Space Shuttle: A Journey into Space|--|--|--|--|NR|Activision|Activision| 1983
3670|Sunny Garcia Surfing|--|--|--|--|NR|Krome Studios|Ubisoft| October 24, 2001
3671|Pokémon Uranium|22 Hours|56 Hours|--|44½ Hours|80|PC|Role-Playing| 2 Weeks Ago
3672|Thievery UT|--|--|--|--|NR| Mod|Black Cat Games| 2003
3673|Hybrid Wars|--|--|--|--|NR|Extreme Developers|WG Labs| September 29, 2016
3674|1943 Kai|--|--|--|--|NR|Capcom|Capcom| June 01, 1988
3675|Everspace|19½ Hours|23 Hours|--|20½ Hours|76|ROCKFISH Games|ROCKFISH Games|Action
3676|Baezult|3 Hours|--|--|3 Hours|50|Atapki|Atapki|Action, Puzzle
3677|Mansions of Madness|--|--|--|--|NR|Fantasy Flight Games|Fantasy Flight Games|Adventure, Strategy
3678|Phantaruk|4 Hours|--|5½ Hours|4½ Hours|NR|Polyslash|PlayWay|Action, Adventure
3679|Lucius Demake|3 Hours|3½ Hours|4 Hours|3½ Hours|63|Shiver Games|Shiver Games|Adventure
3680|Thief - Fan Mission: Lord Edmund Entertains|--|--|32 Mins|32 Mins|NR| Mod|Banshee| November 12, 1999
3681|The God's Chain|--|--|3 Hours|3 Hours|NR|CRASS Infotech|CRASS Infotech|Action
3682|Shockway Rider|--|--|--|--|NR|Carter Follis Software Associates|Faster Than Light| 7.5 Months Ago
3683|Reigns|4 Hours|8 Hours|16 Hours|5 Hours|68|Nerial|Devolved Digital|Text, Multidirectional, Scrolling, Card Game, Roguelike
3684|Novus Inceptio|--|--|--|--|NR|McMagic Productions|McMagic Productions| October 05, 2015
3685|Dragon Quest Builders|39½ Hours|54 Hours|58 Hours|47 Hours|81|Square Enix|Square Enix|Action, Role-Playing
3686|Deus Ex GO|4 Hours|6 Hours|7½ Hours|5 Hours|68|Eidos Montréal|Square Enix|Top-Down, Turn-Based, Puzzle
3687|Asylum|--|--|--|--|NR|Senscape|Senscape| 7.5 Months Ago
3688|Enderal: The Shards of Order|29½ Hours|63 Hours|111 Hours|64 Hours|86| Mod|SureAI Team|First-Person, Action, Role-Playing
3689|Saints Row IV: Re-Elected|15½ Hours|26½ Hours|38½ Hours|28 Hours|76|Deep Silver|PC, PlayStation 4, Xbox One| January 20, 2015
3690|Okhlos|4½ Hours|--|--|4½ Hours|NR|Coffee Powered Machine|Devolver Digital|Action, Strategy
3691|Tahira: Echoes of the Astral Empire|--|--|7½ Hours|7½ Hours|80|Whale Hammer Games|Whale Hammer Games| August 31, 2016
3692|Samantha Fox Strip Poker|--|--|--|--|NR|Software Communications|Martech Games| 1986
3693|Flowers: Le Volume Sur Printemps|--|--|16 Hours|16 Hours|NR|Innocent Grey|JAST USA|Visual Novel
3694|Eagle Flight|2½ Hours|3½ Hours|--|3 Hours|76|Ubisoft Montreal Studio|Ubisoft|Virtual Reality, Simulation
